Date,Close,Momentum,Signal,Position,Daily_Return,Portfolio_Value
2000-02-18,1717.8,118.70000000000005,0.0,1.0,-0.013948682624418729,1107806.8185588862
2000-02-21,1753.5,207.29999999999995,0.0,1.0,0.020782396088019572,1130829.698651186
2000-02-22,1739.05,189.54999999999995,0.0,1.0,-0.008240661534074767,1121510.9138519217
2000-02-23,1696.4,108.40000000000009,0.0,1.0,-0.024524884275897718,1094005.9884755472
2000-02-24,1732.0,134.0999999999999,0.0,1.0,0.020985616599858536,1116964.3787076443
2000-02-25,1710.45,110.70000000000005,0.0,1.0,-0.012442263279445753,1103066.813834001
2000-02-28,1722.55,85.95000000000005,0.0,1.0,0.007074161770294296,1110870.086918506
2000-02-29,1654.8,-7.9500000000000455,-1.0,0.0,-0.0,1110870.086918506
2000-03-01,1712.7,23.049999999999955,1.0,1.0,0.03498912255257447,1149738.4565296867
2000-03-02,1696.55,-14.650000000000091,-1.0,0.0,-0.0,1149738.4565296867
2000-03-03,1656.0,-100.0,0.0,0.0,-0.0,1149738.4565296867
2000-03-06,1688.5,-56.0,0.0,0.0,0.0,1149738.4565296867
2000-03-07,1702.75,0.20000000000004547,1.0,1.0,0.008439443292863391,1159441.6090351932
2000-03-08,1666.35,-44.75,-1.0,0.0,-0.0,1159441.6090351932
2000-03-09,1646.25,-95.84999999999991,0.0,0.0,-0.0,1159441.6090351932
2000-03-10,1602.75,-115.04999999999995,0.0,0.0,-0.0,1159441.6090351932
2000-03-13,1560.7,-192.79999999999995,0.0,0.0,-0.0,1159441.6090351932
2000-03-14,1567.05,-172.0,0.0,0.0,0.0,1159441.6090351932
2000-03-15,1620.1,-76.30000000000018,0.0,0.0,0.0,1159441.6090351932
2000-03-16,1562.2,-169.79999999999995,0.0,0.0,-0.0,1159441.6090351932
2000-03-21,1556.6,-153.85000000000014,0.0,0.0,-0.0,1159441.6090351932
2000-03-22,1589.6,-132.95000000000005,0.0,0.0,0.0,1159441.6090351932
2000-03-23,1553.4,-101.39999999999986,0.0,0.0,-0.0,1159441.6090351932
2000-03-24,1569.55,-143.1500000000001,0.0,0.0,0.0,1159441.6090351932
2000-03-27,1562.95,-133.5999999999999,0.0,0.0,-0.0,1159441.6090351932
2000-03-28,1568.6,-87.40000000000009,0.0,0.0,0.0,1159441.6090351932
2000-03-29,1558.25,-130.25,0.0,0.0,-0.0,1159441.6090351932
2000-03-30,1549.5,-153.25,0.0,0.0,-0.0,1159441.6090351932
2000-03-31,1528.45,-137.89999999999986,0.0,0.0,-0.0,1159441.6090351932
2000-04-03,1534.75,-111.5,0.0,0.0,0.0,1159441.6090351932
2000-04-04,1428.1,-174.6500000000001,0.0,0.0,-0.0,1159441.6090351932
2000-04-05,1434.65,-126.04999999999995,0.0,0.0,0.0,1159441.6090351932
2000-04-06,1452.95,-114.09999999999991,0.0,0.0,0.0,1159441.6090351932
2000-04-07,1557.15,-62.94999999999982,0.0,0.0,0.0,1159441.6090351932
2000-04-10,1613.0,50.799999999999955,1.0,1.0,0.035866807950422075,1201027.0785561868
2000-04-11,1624.65,68.05000000000018,0.0,1.0,0.007222566646001294,1209701.576674711
2000-04-12,1592.7,3.1000000000001364,0.0,1.0,-0.019665774166743644,1185911.8586586723
2000-04-13,1518.65,-34.75,-1.0,0.0,-0.0,1185911.8586586723
2000-04-17,1443.55,-126.0,0.0,0.0,-0.0,1185911.8586586723
2000-04-18,1414.8,-148.1500000000001,0.0,0.0,-0.0,1185911.8586586723
2000-04-19,1404.95,-163.64999999999986,0.0,0.0,-0.0,1185911.8586586723
2000-04-20,1415.65,-142.5999999999999,0.0,0.0,0.0,1185911.8586586723
2000-04-24,1388.0,-161.5,0.0,0.0,-0.0,1185911.8586586723
2000-04-25,1359.45,-169.0,0.0,0.0,-0.0,1185911.8586586723
2000-04-26,1436.1,-98.65000000000009,0.0,0.0,0.0,1185911.8586586723
2000-04-27,1416.9,-11.199999999999818,0.0,0.0,-0.0,1185911.8586586723
2000-04-28,1406.55,-28.100000000000136,0.0,0.0,-0.0,1185911.8586586723
2000-05-02,1333.45,-119.5,0.0,0.0,-0.0,1185911.8586586723
2000-05-03,1316.05,-241.10000000000014,0.0,0.0,-0.0,1185911.8586586723
2000-05-04,1380.55,-232.45000000000005,0.0,0.0,0.0,1185911.8586586723
2000-05-05,1422.4,-202.25,0.0,0.0,0.0,1185911.8586586723
2000-05-08,1365.05,-227.6500000000001,0.0,0.0,-0.0,1185911.8586586723
2000-05-09,1378.55,-140.10000000000014,0.0,0.0,0.0,1185911.8586586723
2000-05-10,1363.15,-80.39999999999986,0.0,0.0,-0.0,1185911.8586586723
2000-05-11,1304.55,-110.25,0.0,0.0,-0.0,1185911.8586586723
2000-05-12,1282.8,-122.15000000000009,0.0,0.0,-0.0,1185911.8586586723
2000-05-15,1299.25,-116.40000000000009,0.0,0.0,0.0,1185911.8586586723
2000-05-16,1306.85,-81.15000000000009,0.0,0.0,0.0,1185911.8586586723
2000-05-17,1311.65,-47.799999999999955,0.0,0.0,0.0,1185911.8586586723
2000-05-18,1293.4,-142.69999999999982,0.0,0.0,-0.0,1185911.8586586723
